,mean,variance,std
$\beta$ [mm/kN],0.0075308508818862675,1.6624430394729587e-07,0.0004077306757496864
$\sigma_{\eta}$ [mm],0.012341703462510342,3.1951796260711752e-06,0.0017875065387492083
"$\lambda_{\eta,P}$ [kN]",14.465017722330822,4.76839752100616,2.1836660736033244
"$\lambda_{\eta,\alpha}$ [rad]",1.772014918470259,0.02833023588113746,0.16831588125051497
"$\lambda_{\eta,E_1}$ [MPa]",66447.47267599711,100166526.842943,10008.322878631714
"$\lambda_{\eta,E_2}$ [MPa]",19305.078308041684,46366110.81509752,6809.26654017138
"$\lambda_{\eta,v_{12}}$ [-]",1.1240429114398691,0.20132546776892649,0.4486930663258866
"$\lambda_{\eta,v_{23}}$ [-]",1.3090127400875073,0.25956142296432577,0.5094717096800624
"$\lambda_{\eta,G_{12}}$ [GPa]",9584.998614402257,11135149.566504652,3336.93715351438
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],3.0182332030257902e-05,5.221030834666751e-10,2.2849575126611768e-05
