,mean,variance,std
$\beta$ [mm/kN],0.008016267721271408,2.045829427861886e-07,0.0004523084597773831
$\sigma_{\eta}$ [mm],0.014350650175381223,5.533914741301081e-06,0.0023524274146721467
"$\lambda_{\eta,P}$ [kN]",14.26415239833947,5.224870341305769,2.285797528501982
"$\lambda_{\eta,\alpha}$ [rad]",2.1690599713515093,0.04964767755581593,0.22281758807557345
"$\lambda_{\eta,E_1}$ [MPa]",43875.19227986715,118482115.07587521,10884.949015768296
"$\lambda_{\eta,E_2}$ [MPa]",9627.71765652516,15182087.919398522,3896.4198848941473
"$\lambda_{\eta,v_{12}}$ [-]",0.9992687290671766,0.16965052491281093,0.4118865437384559
"$\lambda_{\eta,v_{23}}$ [-]",0.9991657423843885,0.18152910564738053,0.4260623260127332
"$\lambda_{\eta,G_{12}}$ [GPa]",5773.70530409796,5190938.35115567,2278.3630858920774
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],3.275638469398341e-05,5.927764095218033e-10,2.4347000010715965e-05
