,mean,variance,std
$\beta$ [mm/kN],0.007518366062030348,1.6663220939840877e-07,0.000408206086919841
$\sigma_{\eta}$ [mm],0.012933003034385155,3.6319709964239675e-06,0.0019057730705474792
"$\lambda_{\eta,P}$ [kN]",14.85229504616019,5.139532684193954,2.2670537453254065
"$\lambda_{\eta,\alpha}$ [rad]",1.923528732956935,0.0404038935629029,0.2010071977887929
"$\lambda_{\eta,E_1}$ [MPa]",71756.77593392869,142395990.23897913,11932.97910158981
"$\lambda_{\eta,E_2}$ [MPa]",19440.09035785353,48543464.9942132,6967.314044466002
"$\lambda_{\eta,v_{12}}$ [-]",1.1992285164851553,0.21561413282460462,0.4643426889966123
"$\lambda_{\eta,v_{23}}$ [-]",1.308917472560786,0.2516879324104445,0.5016850928724557
"$\lambda_{\eta,G_{12}}$ [GPa]",8813.885925148916,9449331.106312178,3073.976432296152
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],4.234419523714884e-05,9.555068008004293e-10,3.091127303752515e-05
