,mean,variance,std
$\beta$ [mm/kN],0.007593287930867725,1.6691423993462942e-07,0.0004085513920360931
$\sigma_{\eta}$ [mm],0.013137190811679975,3.840111568136458e-06,0.0019596202612078848
"$\lambda_{\eta,P}$ [kN]",13.549975647912541,4.475417380638504,2.1155182298052893
"$\lambda_{\eta,\alpha}$ [rad]",2.005018646749466,0.03459370291180018,0.1859938249292169
"$\lambda_{\eta,E_1}$ [MPa]",67977.91536130801,134434812.35520914,11594.602725199737
"$\lambda_{\eta,E_2}$ [MPa]",19343.942227912,47465775.84240294,6889.541047297922
"$\lambda_{\eta,\nu_{12}}$ [-]",1.0221104543048176,0.18574561060801914,0.430982146507276
"$\lambda_{\eta,\nu_{23}}$ [-]",1.2718456670934288,0.252705607160657,0.5026983261963949
"$\lambda_{\eta,G_{12}}$ [GPa]",9189.198017378794,11123824.42144457,3335.23978469983
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],3.6454786556905884e-05,7.858345706064274e-10,2.803274104696912e-05
