Parameter,Mean,Variance,Std
lambda_E1,22539.230660920097,101171555.27143952,10058.407193559004
lambda_E2,5682.638576244613,7801584.798007583,2793.1317186999227
lambda_G12,2675.399597219129,2099228.1766947038,1448.8713458049697
lambda_P,8.5533636180366,4.835740185121965,2.199031647139705
lambda_alpha,0.9790208389283706,0.03201073616116477,0.1789154441661333
lambda_v12,0.5288247428688055,0.07618536101117807,0.27601695783262675
lambda_v23,0.5292148265426062,0.07304384421848627,0.270266246909388
mu_emulator,0.0052566166205769696,7.409387642913219e-09,8.607779994233832e-05
sigma_emulator,0.001185974410309301,1.1458608511041771e-07,0.0003385056648128916
sigma_measure,4.189507481084088e-05,9.922215131024881e-10,3.1499547823778173e-05
