Parameter,Mean,Variance,Std
E_1_n,-2.212662269140965,0.9796944450037667,0.9897951530512598
E_2_n,-0.28294866449287154,2.515101227983273,1.585907067889942
G_12_n,0.04606842732696086,1.148792441763152,1.0718173546659673
lambda_E1_n,-2.091323595907058,0.49760458061835544,0.7054109303224295
lambda_E2_n,0.47408726963318704,0.8616219790461866,0.9282359500936099
lambda_G12_n,0.13974918674311218,0.9573445485247353,0.9784398543215292
lambda_P_n,1.229885316426066,0.24874262512787282,0.4987410401479638
lambda_alpha_n,-0.7562675950828034,0.137834557041626,0.3712607669032994
lambda_v12_n,0.09051867462207959,0.9268918195036843,0.9627522108536984
lambda_v23_n,0.09589261393582776,0.9231533280587569,0.9608086844209709
mu_emulator_n,0.5256616620576969,7.409387642913219e-05,0.008607779994233832
sigma_emulator_n,-2.0007673866302764,0.012849892970285168,0.11335736839872902
sigma_measure_n,-2.75467602236111,0.118538413683144,0.34429408023250124
v_12_n,0.045154028236749556,1.0851848461948423,1.04172205803412
v_23_n,0.016453676349231134,1.0930085069804552,1.045470471596618
