Parameter,Mean,Variance,Std
E_1_n,-1.029616464819325,0.1944168892401949,0.4409273060723217
E_2_n,-0.9118160017195389,3.775213804829391,1.9429909430641696
G_12_n,0.07833511084043264,1.743052426311712,1.3202471080489864
lambda_E1_n,0.5892798794994535,0.16406297233227418,0.4050468767096892
lambda_E2_n,2.8715232156813935,0.39973072107211377,0.6322426125089274
lambda_G12_n,1.753460437466525,0.6106569656398572,0.7814454335651704
lambda_P_n,2.238885916801335,0.11218618810530882,0.3349420667896298
lambda_alpha_n,0.5733084964139309,0.03674509141631256,0.1916900921182745
lambda_v12_n,1.6508019450613247,0.5855574025361827,0.7652172257184118
lambda_v23_n,1.3974286102489395,0.6820048715743817,0.825835862368777
mu_emulator_n,0.7999441624214428,0.002030694523009147,0.04506322805802029
sigma_emulator_n,-0.7741290751262695,0.01010293148321794,0.10051333982719876
sigma_measure_n,-2.7215246678426395,0.11042141244975033,0.3322971749048588
v_12_n,-0.1044182824126945,1.3081341186902968,1.1437369097350565
v_23_n,-0.10972750199431675,1.3164493990046209,1.1473662880722184
