Parameter,Mean,Variance,Std
lambda_E1,83479.30640664071,305724187.97859496,17484.970345373622
lambda_E2,17661.825606612914,35138318.73211935,5927.758322681463
lambda_G12,5969.315199269052,5938170.356878687,2436.836136649054
lambda_P,13.758064581907728,4.59745928032478,2.144168668814275
lambda_alpha,1.9345536264581398,0.030502427926304698,0.1746494429601901
lambda_v12,1.1161322908144022,0.19745147749526176,0.4443551254292694
lambda_v23,1.0139464166927712,0.19888098660663298,0.44596074558937693
mu_emulator,0.0081896941111791,1.9069771419974072e-07,0.0004366894940340799
sigma_emulator,0.013317660306782,4.485546585679521e-06,0.002117910901260844
sigma_measure,5.727082737677093e-05,1.4412406169004595e-09,3.796367496568871e-05
