Parameter,Mean,Variance,Std
lambda_E1,81275.41498309268,281828088.3457893,16787.736248398392
lambda_E2,17345.856760467013,35438539.10653877,5953.027726001179
lambda_G12,5729.224431175177,5560409.045648683,2358.0519599128183
lambda_P,13.807870645345556,4.874775747299629,2.207889432761439
lambda_alpha,1.8768057148854038,0.033452950523933635,0.18290147764283818
lambda_v12,1.078829467443905,0.18579655211956564,0.4310412417850125
lambda_v23,0.9875704150058215,0.18618193791492083,0.4314880507208987
mu_emulator,0.00802894970312213,1.9652732669463903e-07,0.00044331402718010066
sigma_emulator,0.012286850747930289,3.7499343701272094e-06,0.0019364747274692768
sigma_measure,4.7400549509149074e-05,1.1618447873068366e-09,3.408584438306959e-05
