Parameter,Mean,Variance,Std
E_1_n,-1.0529935209721863,0.19089251081348416,0.4369124750032713
E_2_n,-0.9191153551428958,3.85324259214669,1.9629678021166548
G_12_n,0.10016501879361665,1.6627547729741015,1.2894784887597395
lambda_E1_n,0.5703995068771994,0.1612958541163127,0.401616551098573
lambda_E2_n,2.8197427264581685,0.39373561151597003,0.6274835547773105
lambda_G12_n,1.7520735980263662,0.6149147982763097,0.7841650325513818
lambda_P_n,2.2250170026653526,0.10224205915434223,0.31975312219639423
lambda_alpha_n,0.5696207233047478,0.03822212022490991,0.19550478312540057
lambda_v12_n,1.6064534622363542,0.577724038221378,0.7600815997124111
lambda_v23_n,1.4046458935755732,0.675452802868724,0.8218593571096724
mu_emulator_n,0.8028949703122131,0.0019652732669463904,0.04433140271801007
sigma_emulator_n,-0.7853081498882887,0.01015273220416427,0.10076076718725532
sigma_measure_n,-2.711340945314998,0.12184626453742244,0.3490648428837004
v_12_n,-0.09893315944968972,1.3115097754006813,1.1452116727490518
v_23_n,-0.10792910489200792,1.3416288291509508,1.1582870236478309
