,mean,variance,std
$\beta$ [mm/kN],0.00808985076501808,1.9726862819416406e-07,0.00044414933096219343
$\sigma_{\eta}$ [mm],0.0124552874515534,3.7788372164219326e-06,0.001943923150852917
"$\lambda_{\eta,P}$ [kN]",14.104908990399315,4.8052483790057,2.1920876759394687
"$\lambda_{\eta,\alpha}$ [rad]",1.8740030880982745,0.031571093069907144,0.1776825626501012
"$\lambda_{\eta,E_1}$ [MPa]",85081.86425161031,275087873.3370331,16585.773220957566
"$\lambda_{\eta,E_2}$ [MPa]",21690.05432264021,57055555.46873718,7553.512790002886
"$\lambda_{\eta,v_{12}}$ [-]",1.0349750219887504,0.20383341974767774,0.45147914652581433
"$\lambda_{\eta,v_{23}}$ [-]",0.8975545071166107,0.16686430140236846,0.4084902708784733
"$\lambda_{\eta,G_{12}}$ [GPa]",5085.4648573979275,4839939.581363803,2199.98626844892
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],2.146008905408954e-05,2.756943515675249e-10,1.660404624082711e-05
