,mean,variance,std
$\beta$ [mm/kN],0.007578662368420725,1.7408791046040628e-07,0.0004172384335849303
$\sigma_{\eta}$ [mm],0.013463169518647993,3.8380208300806035e-06,0.001959086733679906
"$\lambda_{\eta,P}$ [kN]",13.727893921884874,4.518024890894524,2.1255646052036443
"$\lambda_{\eta,\alpha}$ [rad]",2.0111070669414373,0.03447395758040789,0.1856716391385822
"$\lambda_{\eta,E_1}$ [MPa]",67815.74749668544,140345592.29457802,11846.754504697818
"$\lambda_{\eta,E_2}$ [MPa]",19663.448286506202,47623757.91033832,6900.996878012504
"$\lambda_{\eta,v_{12}}$ [-]",1.037424552456904,0.20484230867162787,0.4525950824651411
"$\lambda_{\eta,v_{23}}$ [-]",1.26332285537231,0.24535046796347973,0.4953286464192029
"$\lambda_{\eta,G_{12}}$ [GPa]",9268.20386383074,10671828.45676782,3266.7764626260887
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],2.9411075604168186e-05,4.841591344614636e-10,2.2003616395071597e-05
