,mean,variance,std
$\beta$ [mm/kN],0.007545688925127695,1.651002788619609e-07,0.0004063253362294319
$\sigma_{\eta}$ [mm],0.012871456439087893,3.5428096117962106e-06,0.0018822352700436284
"$\lambda_{\eta,P}$ [kN]",13.62780349386016,4.535918628687673,2.129769618688292
"$\lambda_{\eta,\alpha}$ [rad]",1.9992229019295118,0.032371411288274435,0.17992056938625564
"$\lambda_{\eta,E_1}$ [MPa]",69159.1524554576,135326819.89606637,11633.005626065276
"$\lambda_{\eta,E_2}$ [MPa]",19402.629145686078,48851952.01792938,6989.417144363998
"$\lambda_{\eta,v_{12}}$ [-]",1.119810639623095,0.2074829206873808,0.45550293159032557
"$\lambda_{\eta,v_{23}}$ [-]",1.2939432900044412,0.24276874325450243,0.4927156819652714
"$\lambda_{\eta,G_{12}}$ [GPa]",9088.617100873995,10315947.781814376,3211.8449187055057
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],3.348026983693078e-05,6.12325198224859e-10,2.474520556036783e-05
