,mean,variance,std
$\beta$ [mm/kN],0.008256637719233881,2.061378943213893e-07,0.00045402411204845637
$\sigma_{\eta}$ [mm],0.013307360504202859,4.722009351446824e-06,0.002173018488519328
"$\lambda_{\eta,P}$ [kN]",14.357564043899444,4.37959880468457,2.0927491021822395
"$\lambda_{\eta,\alpha}$ [rad]",1.9996563242267347,0.03769918780947373,0.19416278688119856
"$\lambda_{\eta,E_1}$ [MPa]",91443.12469643929,416487604.3268571,20408.02793821238
"$\lambda_{\eta,E_2}$ [MPa]",20650.83042484793,58465260.25194206,7646.2579247591475
"$\lambda_{\eta,\nu_{12}}$ [-]",1.104108651764299,0.19928189972023444,0.44641001301520383
"$\lambda_{\eta,\nu_{23}}$ [-]",0.5184976147087069,0.0859103089579738,0.2931046041227838
"$\lambda_{\eta,G_{12}}$ [GPa]",4686.1275756322775,4501484.607423746,2121.670240028772
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],4.8709946380785334e-05,1.199760104693659e-09,3.463755338781391e-05
