,mean,variance,std
$\beta$ [mm/kN],0.007593747569170424,1.6413233046700284e-07,0.0004051324850798845
$\sigma_{\eta}$ [mm],0.013388565599089968,4.1413393753469445e-06,0.0020350281018568133
"$\lambda_{\eta,P}$ [kN]",14.801140545804914,5.017456743588202,2.239968022894122
"$\lambda_{\eta,\alpha}$ [rad]",1.99188243915804,0.04297908893820127,0.207313986354518
"$\lambda_{\eta,E_1}$ [MPa]",72913.02535906258,144791435.83485407,12032.931306828526
"$\lambda_{\eta,E_2}$ [MPa]",19557.323897596347,50964990.16973283,7138.976829331556
"$\lambda_{\eta,\nu_{12}}$ [-]",1.215124816217164,0.227410636749756,0.47687591336715257
"$\lambda_{\eta,\nu_{23}}$ [-]",1.3159814181541638,0.25451929937970513,0.5044990578580947
"$\lambda_{\eta,G_{12}}$ [GPa]",8957.113591445112,10376561.371139536,3221.2670443692705
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],7.244245179392442e-05,2.371190207601403e-09,4.869486839084179e-05
